Anime_Base,Titulo_Completo,URL,Imagem,Tipo,Provider
Yoroi Shin Den Samurai Troopers 2026 ANIME,Yoroi Shin Den Samurai Troopers 2026 ANIME,https://animeshd.to/animes/yoroi-shin-den-samurai-troopers/,https://image.tmdb.org/t/p/w780/fikx5FofgLjNvyGORxdB4R2wxsE.jpg,Legendado,AnimesHD
Android wa Keiken Ninzuu ni Hairimasu ka?? 2026 ANIME,Android wa Keiken Ninzuu ni Hairimasu ka?? 2026 ANIME,https://animeshd.to/animes/android-wa-keiken-ninzuu-ni-hairimasu-ka/,https://image.tmdb.org/t/p/w780/9zPC2aRwIko0gT1CP86mp8LSfOK.jpg,Legendado,AnimesHD
Jingai Kyoushitsu no Ningengirai Kyoushi 2026 ANIME,Jingai Kyoushitsu no Ningengirai Kyoushi 2026 ANIME,https://animeshd.to/animes/jingai-kyoushitsu-no-ningengirai-kyoushi/,https://image.tmdb.org/t/p/w780/yrDQ24QE2qW2eNB2TGNafYT1Wnh.jpg,Legendado,AnimesHD
Jujutsu Kaisen Dublado 2020 ANIME,Jujutsu Kaisen Dublado 2020 ANIME,https://animeshd.to/animes/jujutsu-kaisen-dublado/,https://image.tmdb.org/t/p/w780/gmECX1DvFgdUPjtio2zaL8BPYPu.jpg,Dublado,AnimesHD
Odayaka Kizoku no Kyuuka no Susume 2026 ANIME,Odayaka Kizoku no Kyuuka no Susume 2026 ANIME,https://animeshd.to/animes/odayaka-kizoku-no-kyuuka-no-susume/,https://image.tmdb.org/t/p/w780/snzpnGs0cX5cQR7Cxaefc6su53p.jpg,Legendado,AnimesHD
Trigun Stargaze 2023 ANIME,Trigun Stargaze 2023 ANIME,https://animeshd.to/animes/trigun-stampede/,https://image.tmdb.org/t/p/w780/6dErjmx17e8kZn5zHAqLrbcTesV.jpg,Legendado,AnimesHD
Uruwashi no Yoi no Tsuki 2026 ANIME,Uruwashi no Yoi no Tsuki 2026 ANIME,https://animeshd.to/animes/uruwashi-no-yoi-no-tsuki/,https://image.tmdb.org/t/p/w780/6Eg3t2KdtqiF29G7a7S1Npl93g8.jpg,Legendado,AnimesHD
Kaya-chan wa Kowakunai 2026 ANIME,Kaya-chan wa Kowakunai 2026 ANIME,https://animeshd.to/animes/kaya-chan-wa-kowakunai/,https://image.tmdb.org/t/p/w780/vcHzF9NHQLM8dCW1OOBhezsFRiO.jpg,Legendado,AnimesHD
Hikuidori: Ushuu Boro Tobi-gumi 2026 ANIME,Hikuidori: Ushuu Boro Tobi-gumi 2026 ANIME,https://animeshd.to/animes/hikuidori-ushuu-boro-tobi-gumi/,https://image.tmdb.org/t/p/w780/5MzPjgDGy2m0tSrIQL2LXJOdu3.jpg,Legendado,AnimesHD
Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru 2026 ANIME,Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru 2026 ANIME,https://animeshd.to/animes/akuyaku-reijou-wa-ringoku-no-outaishi-ni-dekiai-sareru/,https://image.tmdb.org/t/p/w780/6vaxQIDlAGtELnfyBMC9toTYMuX.jpg,Legendado,AnimesHD
7.8 NOVO Dragon Ball Daima 2024,7.8 NOVO Dragon Ball Daima 2024,https://animeshd.to/animes/dragon-ball-daima-online/,https://animeshd.to/wp-content/uploads/2024/10/pc9jW4KdhGfJ7go74VTOq3qWxk5-185x278.jpg,Legendado,AnimesHD
10 NOVO Sentenced to Be a Hero 2026,10 NOVO Sentenced to Be a Hero 2026,https://animeshd.to/animes/sentenced-to-be-a-hero/,https://animeshd.to/wp-content/uploads/2026/01/juGNOhRx7MXg3i2NuZ9lR6arVQw-185x278.jpg,Legendado,AnimesHD
9.4 NOVO Tougen Anki 2025,9.4 NOVO Tougen Anki 2025,https://animeshd.to/animes/tougen-anki/,https://animeshd.to/wp-content/uploads/2025/08/v4OlQo5vj9aXW8oqd7q6w4ine67-185x278.jpg,Legendado,AnimesHD
9.1 NOVO Lord of Mysteries 2025,9.1 NOVO Lord of Mysteries 2025,https://animeshd.to/animes/lord-of-mysteries/,https://animeshd.to/wp-content/uploads/2025/07/kBRyCCZWipMO5Gu9Y02nE3iMgr0-185x278.jpg,Legendado,AnimesHD
9.1 NOVO Witch Watch 2025,9.1 NOVO Witch Watch 2025,https://animeshd.to/animes/witch-watch/,https://animeshd.to/wp-content/uploads/2025/07/jeh8PhZecsxpPikl6oUrVEkG8s6-185x278.jpg,Legendado,AnimesHD
10 NOVO Summer Pockets 2025,10 NOVO Summer Pockets 2025,https://animeshd.to/animes/summer-pockets/,https://animeshd.to/wp-content/uploads/2025/07/8WALipI4LbRa3POKJOfGPLrVemK-185x278.jpg,Legendado,AnimesHD
9.8 NOVO Gachiakuta 2025,9.8 NOVO Gachiakuta 2025,https://animeshd.to/animes/gachiakuta/,https://animeshd.to/wp-content/uploads/2025/07/RxuL7KuFoOzHC0htjtLGxJEGGx-185x278.jpg,Legendado,AnimesHD
10 NOVO Shin Samurai-den Yaiba 2025,10 NOVO Shin Samurai-den Yaiba 2025,https://animeshd.to/animes/shin-samurai-den-yaiba/,https://animeshd.to/wp-content/uploads/2025/04/1jltcsz17CkfyhpcsSlmVC6pQGh-185x278.jpg,Legendado,AnimesHD
7 NOVO Guilty Gear Strive: Dual Rulers 2025,7 NOVO Guilty Gear Strive: Dual Rulers 2025,https://animeshd.to/animes/guilty-gear-strive-dual-rulers/,https://animeshd.to/wp-content/uploads/2025/04/tpRogsdGkXhog9q80I0XrOuEA4K-185x278.jpg,Legendado,AnimesHD
"8.8 NOVO Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita 2021","8.8 NOVO Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita 2021",https://animeshd.to/animes/slime-taoshite-300-nen-shiranai-uchi-ni-level-max-ni-nattemashita/,https://animeshd.to/wp-content/uploads/2025/04/olv9eCdn4m1p7PLZaMTn5zR1SEB-185x278.jpg,Legendado,AnimesHD
3.5 NOVO Nazotoki wa Dinner no Ato de 2025,3.5 NOVO Nazotoki wa Dinner no Ato de 2025,https://animeshd.to/animes/nazotoki-wa-dinner-no-ato-de/,https://animeshd.to/wp-content/uploads/2025/04/4QWLO92rjsPhIMS2ZyaxIiWJZpl-185x278.jpg,Legendado,AnimesHD
7 NOVO Your Forma 2025,7 NOVO Your Forma 2025,https://animeshd.to/animes/your-forma/,https://animeshd.to/wp-content/uploads/2025/04/uq3FFKHW6lUQxdiTetjgSIL0vMs-185x278.jpg,Legendado,AnimesHD
"9.4 NOVO Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!) 2025","9.4 NOVO Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!) 2025",https://animeshd.to/animes/danjo-no-yuujou-wa-seiritsu-suru-iya-shinai/,https://animeshd.to/wp-content/uploads/2025/04/74Oi8x6kwqgeDgfIgNVQwl9b0FT-185x278.jpg,Legendado,AnimesHD
8.7 NOVO Devil May Cry 2025,8.7 NOVO Devil May Cry 2025,https://animeshd.to/animes/devil-may-cry/,https://animeshd.to/wp-content/uploads/2025/04/i9ZQgNaeXsrKKBh6MaSYFxbGkDC-185x278.jpg,Legendado,AnimesHD
10 NOVO Isshun de Chiryou shiteita noni Yakutatazu to Tsuihou sareta Tensai Chiyushi Yami Healer toshite Tanoshiku Ikiru 2025,10 NOVO Isshun de Chiryou shiteita noni Yakutatazu to Tsuihou sareta Tensai Chiyushi Yami Healer toshite Tanoshiku Ikiru 2025,https://animeshd.to/animes/isshun-de-chiryou-shiteita-noni-yakutatazu-to-tsuihou-sareta-tensai-chiyushi-yami-healer-toshite-tanoshiku-ikiru/,https://animeshd.to/wp-content/uploads/2025/04/r87Uv7ESFlB4do3Ze43u3il7cGG-185x278.jpg,Legendado,AnimesHD
10 NOVO Kanpekisugite Kawaige ga Nai to Konyaku Haki sareta Seijo wa Ringoku ni Urareru 2025,10 NOVO Kanpekisugite Kawaige ga Nai to Konyaku Haki sareta Seijo wa Ringoku ni Urareru 2025,https://animeshd.to/animes/kanpekisugite-kawaige-ga-nai-to-konyaku-haki-sareta-seijo-wa-ringoku-ni-urareru/,https://animeshd.to/wp-content/uploads/2025/04/9PwQYncRgFiPidLWeZYJqOrEKg8-185x278.jpg,Legendado,AnimesHD
9.5 NOVO The Beginning After the End 2025,9.5 NOVO The Beginning After the End 2025,https://animeshd.to/animes/the-beginning-after-the-end/,https://animeshd.to/wp-content/uploads/2025/04/2NogAa2FQmZJkwHJTwiuCHfxIFD-185x278.jpg,Legendado,AnimesHD
"9.4 NOVO Haite Kudasai, Takamine-san 2025","9.4 NOVO Haite Kudasai, Takamine-san 2025",https://animeshd.to/animes/haite-kudasai-takamine-san/,https://animeshd.to/wp-content/uploads/2025/04/fY0M7l7SVI6iHKmoYxpMVR9Om4W-185x278.jpg,Legendado,AnimesHD
10 NOVO Ballpark de Tsukamaete! 2025,10 NOVO Ballpark de Tsukamaete! 2025,https://animeshd.to/animes/ballpark-de-tsukamaete/,https://animeshd.to/wp-content/uploads/2025/04/iJLVG8W3kp0JTPejChjPWrXEwI3-185x278.jpg,Legendado,AnimesHD
0 NOVO Aru Majo ga Shinu Made 2025,0 NOVO Aru Majo ga Shinu Made 2025,https://animeshd.to/animes/aru-majo-ga-shinu-made/,https://animeshd.to/wp-content/uploads/2025/04/kBID23YsUdVdDSS577lG4HJ7DLU-185x278.jpg,Legendado,AnimesHD
"8.8 Yoroi Shin Den Samurai Troopers Jan. 06, 2026","8.8 Yoroi Shin Den Samurai Troopers Jan. 06, 2026",https://animeshd.to/animes/yoroi-shin-den-samurai-troopers/,https://animeshd.to/wp-content/uploads/2026/01/gQDsN26g7RUibJJcgWzPvc0iTnb-185x278.jpg,Legendado,AnimesHD
"0 Android wa Keiken Ninzuu ni Hairimasu ka?? Jan. 10, 2026","0 Android wa Keiken Ninzuu ni Hairimasu ka?? Jan. 10, 2026",https://animeshd.to/animes/android-wa-keiken-ninzuu-ni-hairimasu-ka/,https://animeshd.to/wp-content/uploads/2026/01/4dfyZ5UZKGuS5Pur5nMqFp6s675-185x278.jpg,Legendado,AnimesHD
"8 Jingai Kyoushitsu no Ningengirai Kyoushi Jan. 11, 2026","8 Jingai Kyoushitsu no Ningengirai Kyoushi Jan. 11, 2026",https://animeshd.to/animes/jingai-kyoushitsu-no-ningengirai-kyoushi/,https://animeshd.to/wp-content/uploads/2026/01/1GmD3pP3aCQAknNem6yaQ5gP5os-185x278.jpg,Legendado,AnimesHD
"8.565 Jujutsu Kaisen Dublado Oct. 03, 2020","8.565 Jujutsu Kaisen Dublado Oct. 03, 2020",https://animeshd.to/animes/jujutsu-kaisen-dublado/,https://animeshd.to/wp-content/uploads/2026/01/mGPwEkHxyErWoX7Z1sk2YuOKtQ8-185x278.jpg,Dublado,AnimesHD
"9.2 Odayaka Kizoku no Kyuuka no Susume Jan. 08, 2026","9.2 Odayaka Kizoku no Kyuuka no Susume Jan. 08, 2026",https://animeshd.to/animes/odayaka-kizoku-no-kyuuka-no-susume/,https://animeshd.to/wp-content/uploads/2026/01/v0jFsByv3sX4aDpqgpoC7hjtqB8-185x278.jpg,Legendado,AnimesHD
"7.3 Trigun Stargaze Jan. 07, 2023","7.3 Trigun Stargaze Jan. 07, 2023",https://animeshd.to/animes/trigun-stampede/,https://animeshd.to/wp-content/uploads/2026/01/8mqvaj0a74JZkvCc4w1J2ePchl-185x278.jpg,Legendado,AnimesHD
"8.9 Uruwashi no Yoi no Tsuki Jan. 11, 2026","8.9 Uruwashi no Yoi no Tsuki Jan. 11, 2026",https://animeshd.to/animes/uruwashi-no-yoi-no-tsuki/,https://animeshd.to/wp-content/uploads/2026/01/3061lEeTTSb5NtX0ASXnRSO7Mo5-185x278.jpg,Legendado,AnimesHD
"7 Kaya-chan wa Kowakunai Jan. 11, 2026","7 Kaya-chan wa Kowakunai Jan. 11, 2026",https://animeshd.to/animes/kaya-chan-wa-kowakunai/,https://animeshd.to/wp-content/uploads/2026/01/jfWdGJ2HcaCMVRdOUBPd6ayYgz2-185x278.jpg,Legendado,AnimesHD
"7 Hikuidori: Ushuu Boro Tobi-gumi Jan. 11, 2026","7 Hikuidori: Ushuu Boro Tobi-gumi Jan. 11, 2026",https://animeshd.to/animes/hikuidori-ushuu-boro-tobi-gumi/,https://animeshd.to/wp-content/uploads/2026/01/a6h3VxKHQy6YHgwlb2O90wPGq81-185x278.jpg,Legendado,AnimesHD
"6 Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru Jan. 11, 2026","6 Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru Jan. 11, 2026",https://animeshd.to/animes/akuyaku-reijou-wa-ringoku-no-outaishi-ni-dekiai-sareru/,https://animeshd.to/wp-content/uploads/2026/01/bjgqOgkOxWphCaq1CG1jPhDq1dI-185x278.jpg,Legendado,AnimesHD
"6.1 Hanazakari no Kimitachi e Jan. 04, 2026","6.1 Hanazakari no Kimitachi e Jan. 04, 2026",https://animeshd.to/animes/hanazakari-no-kimitachi-e/,https://animeshd.to/wp-content/uploads/2026/01/4BoA0q0oh1FJiRe9PlZCxlqX26T-185x278.jpg,Legendado,AnimesHD
"9.4 Seihantai na Kimi to Boku Jan. 11, 2026","9.4 Seihantai na Kimi to Boku Jan. 11, 2026",https://animeshd.to/animes/seihantai-na-kimi-to-boku/,https://animeshd.to/wp-content/uploads/2026/01/xsqaVf4dtMYM9kcEgmtdDiTlkQl-185x278.jpg,Legendado,AnimesHD
"10 Yuusha no Kuzu Jan. 11, 2026","10 Yuusha no Kuzu Jan. 11, 2026",https://animeshd.to/animes/yuusha-no-kuzu/,https://animeshd.to/wp-content/uploads/2026/01/zUdByBz1zWn4Prgw5nkVmgfFzfI-185x278.jpg,Legendado,AnimesHD
"9.2 Tensei shitara Dragon no Tamago datta Jan. 10, 2026","9.2 Tensei shitara Dragon no Tamago datta Jan. 10, 2026",https://animeshd.to/animes/tensei-shitara-dragon-no-tamago-datta/,https://animeshd.to/wp-content/uploads/2026/01/wwleFyKVSzCw2GkdJTwXplHsPZp-185x278.jpg,Legendado,AnimesHD
"7 Dead Account Jan. 10, 2026","7 Dead Account Jan. 10, 2026",https://animeshd.to/animes/dead-account/,https://animeshd.to/wp-content/uploads/2026/01/3KxyECISY5arB72ADxUuY4DUwJL-185x278.jpg,Legendado,AnimesHD
"5 High School! Kimengumi Jan. 09, 2026","5 High School! Kimengumi Jan. 09, 2026",https://animeshd.to/animes/high-school-kimengumi/,https://animeshd.to/wp-content/uploads/2026/01/8ota15pVJEQYzEM0lVb9iVtUvPQ-185x278.jpg,Legendado,AnimesHD
"10 Hell Mode: Yarikomizuki no Gamer wa Hai Settei no Isekai de Musou suru Jan. 10, 2026","10 Hell Mode: Yarikomizuki no Gamer wa Hai Settei no Isekai de Musou suru Jan. 10, 2026",https://animeshd.to/animes/hell-mode-yarikomizuki-no-gamer-wa-hai-settei-no-isekai-de-musou-suru/,https://animeshd.to/wp-content/uploads/2026/01/jTJWL2wKoukCaId1Tkd3NHDVSgw-185x278.jpg,Legendado,AnimesHD
"9 Dark Moon: The Blood Altar Jan. 10, 2026","9 Dark Moon: The Blood Altar Jan. 10, 2026",https://animeshd.to/animes/dark-moon-the-blood-altar/,https://animeshd.to/wp-content/uploads/2026/01/qgy4z9HsdotSpVUy44ZMUt7J9tL-185x278.jpg,Legendado,AnimesHD
"5.875 Champignon no Majo Jan. 09, 2026","5.875 Champignon no Majo Jan. 09, 2026",https://animeshd.to/animes/champignon-no-majo/,https://animeshd.to/wp-content/uploads/2026/01/fnMlh7jvoPvqoIqz5bYnw8MkQwO-185x278.jpg,Legendado,AnimesHD
"7.5 Omae Gotoki ga Maou ni Kateru to Omou na to Yuusha Party o Tsuihou Jan. 09, 2026","7.5 Omae Gotoki ga Maou ni Kateru to Omou na to Yuusha Party o Tsuihou Jan. 09, 2026",https://animeshd.to/animes/omae-gotoki-ga-maou-ni-kateru-to-omou-na-to-yuusha-party-o-tsuihou/,https://animeshd.to/wp-content/uploads/2026/01/nH6Ch1q5rwdRs56bYTA9wuOhfbL-185x278.jpg,Legendado,AnimesHD
"7.6 Eris no Seihai Jan. 08, 2026","7.6 Eris no Seihai Jan. 08, 2026",https://animeshd.to/animes/eris-no-seihai/,https://animeshd.to/wp-content/uploads/2026/01/ifxEzlA8UWr1ZKHjYHKz59LzO9g-185x278.jpg,Legendado,AnimesHD
"9.2 Toumei Otoko to Ningen Onna: Sonouchi Fuufu ni Naru Futari Jan. 08, 2026","9.2 Toumei Otoko to Ningen Onna: Sonouchi Fuufu ni Naru Futari Jan. 08, 2026",https://animeshd.to/animes/toumei-otoko-to-ningen-onna-sonouchi-fuufu-ni-naru-futari/,https://animeshd.to/wp-content/uploads/2026/01/jU8Oc4XCKFNh2WxrDMXHQx6hfJy-185x278.jpg,Legendado,AnimesHD
"7.2 Shibou Yuugi de Meshi wo Kuu Jan. 07, 2026","7.2 Shibou Yuugi de Meshi wo Kuu Jan. 07, 2026",https://animeshd.to/animes/shibou-yuugi-de-meshi-wo-kuu/,https://animeshd.to/wp-content/uploads/2026/01/oGuTKxRifOcbDb1VgEtRA6SEc6J-185x278.jpg,Legendado,AnimesHD
"7 Okiraku Ryoushu no Tanoshii Ryouchi Bouei Jan. 10, 2026","7 Okiraku Ryoushu no Tanoshii Ryouchi Bouei Jan. 10, 2026",https://animeshd.to/animes/okiraku-ryoushu-no-tanoshii-ryouchi-bouei/,https://animeshd.to/wp-content/uploads/2026/01/27sQp8T5zwGICIKmxOn6XkK5UtD-185x278.jpg,Legendado,AnimesHD
"9.3 29-sai Dokushin Chuuken Boukensha no Nichijou Jan. 07, 2026","9.3 29-sai Dokushin Chuuken Boukensha no Nichijou Jan. 07, 2026",https://animeshd.to/animes/29-sai-dokushin-chuuken-boukensha-no-nichijou/,https://animeshd.to/wp-content/uploads/2026/01/cqT49U15uBjkaR8n64rJ2Z9CkIP-185x278.jpg,Legendado,AnimesHD
"7 Arne no Jiken-bo Jan. 07, 2026","7 Arne no Jiken-bo Jan. 07, 2026",https://animeshd.to/animes/arne-no-jiken-bo/,https://animeshd.to/wp-content/uploads/2026/01/3rm7bINPzZbOZzTix6m8sAJSG2L-185x278.jpg,Legendado,AnimesHD
"8 Darwin Jihen Jan. 07, 2026","8 Darwin Jihen Jan. 07, 2026",https://animeshd.to/animes/darwin-jihen/,https://animeshd.to/wp-content/uploads/2026/01/Assistir-Darwin-Jihen-Todos-os-Episodios-Animes-Online-185x278.webp,Legendado,AnimesHD
"8.7 Yuusha Party ni Kawaii Ko ga Itanode, Kokuhaku Shite Mita Jan. 06, 2026","8.7 Yuusha Party ni Kawaii Ko ga Itanode, Kokuhaku Shite Mita Jan. 06, 2026",https://animeshd.to/animes/yuusha-party-ni-kawaii-ko-ga-itanode-kokuhaku-shite-mita/,https://animeshd.to/wp-content/uploads/2026/01/hlprcIJFyWVkCNOxU7UySb1ECLe-185x278.jpg,Legendado,AnimesHD
"8.091 Isekai no Sata wa Shachiku Shidai Jan. 06, 2026","8.091 Isekai no Sata wa Shachiku Shidai Jan. 06, 2026",https://animeshd.to/animes/isekai-no-sata-wa-shachiku-shidai/,https://animeshd.to/wp-content/uploads/2026/01/9ZtYwGcz9g6vcOBcFTMOFrYQVKs-185x278.jpg,Legendado,AnimesHD
"9 Mayonaka Heart Tune Jan. 06, 2026","9 Mayonaka Heart Tune Jan. 06, 2026",https://animeshd.to/animes/mayonaka-heart-tune/,https://animeshd.to/wp-content/uploads/2026/01/otKyL6FiAoNAAB90N0cO3RhRhCj-185x278.jpg,Legendado,AnimesHD
Links Rápidos One Piece Online Boruto Online Boku no Hero Academia Online Naruto Shippuden Online Black Clover Online Solo Leveling  Hentai Legendado Hentai Online,Links Rápidos One Piece Online Boruto Online Boku no Hero Academia Online Naruto Shippuden Online Black Clover Online Solo Leveling Todos os Episódios Hentai Legendado Hentai Online EP s,https://animeshd.to/animes/one-piece/,Sem Imagem,Legendado,AnimesHD
"9.7 Maou no Musume wa Yasashisugiru!! Jan. 07, 2026","9.7 Maou no Musume wa Yasashisugiru!! Jan. 07, 2026",https://animeshd.to/animes/maou-no-musume-wa-yasashisugiru/,https://animeshd.to/wp-content/uploads/2026/01/gUpjTomq5J4aOpwAOJ3WB76kh5g-185x278.jpg,Legendado,AnimesHD
"9.5 Osananajimi to wa Love Comedy ni Naranai Jan. 06, 2026","9.5 Osananajimi to wa Love Comedy ni Naranai Jan. 06, 2026",https://animeshd.to/animes/osananajimi-to-wa-love-comedy-ni-naranai/,https://animeshd.to/wp-content/uploads/2026/01/rMoMsLOTbEKCWFEzgbxryoXUgRe-185x278.jpg,Legendado,AnimesHD
"8.7 Majutsu-shi Kunon wa Mieteiru Jan. 04, 2026","8.7 Majutsu-shi Kunon wa Mieteiru Jan. 04, 2026",https://animeshd.to/animes/majutsu-shi-kunon-wa-mieteiru/,https://animeshd.to/wp-content/uploads/2026/01/v05adzjtBOhTqu1Ri4FxOmu6Uix-185x278.jpg,Legendado,AnimesHD
"7.7 Kirei ni Shitemoraemasu ka Jan. 05, 2026","7.7 Kirei ni Shitemoraemasu ka Jan. 05, 2026",https://animeshd.to/animes/kirei-ni-shitemoraemasu-ka/,https://animeshd.to/wp-content/uploads/2026/01/u3FoBE3Vw0tTHFV6djpSv5HHBU5-185x278.jpg,Legendado,AnimesHD
"8.4 Ikoku Nikki Jan. 04, 2026","8.4 Ikoku Nikki Jan. 04, 2026",https://animeshd.to/animes/ikoku-nikki/,https://animeshd.to/wp-content/uploads/2026/01/oMgxAEq7OVvkLDevVMfYwlAzBrP-185x278.jpg,Legendado,AnimesHD
"9.5 Goumon Baito-kun no Nichijou Jan. 05, 2026","9.5 Goumon Baito-kun no Nichijou Jan. 05, 2026",https://animeshd.to/animes/goumon-baito-kun-no-nichijou/,https://animeshd.to/wp-content/uploads/2026/01/3bnxhdmtqZ8TiVYaOlobjk1s3J8-185x278.jpg,Legendado,AnimesHD
"7.8 Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru Jan. 08, 2026","7.8 Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru Jan. 08, 2026",https://animeshd.to/animes/kizoku-tensei-megumareta-umare-kara-saikyou-no-chikara-wo-eru/,https://animeshd.to/wp-content/uploads/2026/01/hNzGfrWuofXtorimdZMI1musY8H-185x278.jpg,Legendado,AnimesHD
"7.455 Tamon-kun Ima Docchi Jan. 04, 2026","7.455 Tamon-kun Ima Docchi Jan. 04, 2026",https://animeshd.to/animes/tamon-kun-ima-docchi/,https://animeshd.to/wp-content/uploads/2026/01/dMiCgX3BPx2mSq74Yn5bK2MNlC8-185x278.jpg,Legendado,AnimesHD
"8.1 Yuusha Party wo Oidasareta Kiyoubinbou Jan. 04, 2026","8.1 Yuusha Party wo Oidasareta Kiyoubinbou Jan. 04, 2026",https://animeshd.to/animes/yuusha-party-wo-oidasareta-kiyoubinbou/,https://animeshd.to/wp-content/uploads/2026/01/vdTDfjZkuzYFC1Xwa02kYvy41ET-185x278.jpg,Legendado,AnimesHD
"9.173 Sentenced to Be a Hero Jan. 03, 2026","9.173 Sentenced to Be a Hero Jan. 03, 2026",https://animeshd.to/animes/sentenced-to-be-a-hero/,https://animeshd.to/wp-content/uploads/2026/01/juGNOhRx7MXg3i2NuZ9lR6arVQw-185x278.jpg,Legendado,AnimesHD
"9.3 Kimi to Koete Koi ni Naru Oct. 14, 2025","9.3 Kimi to Koete Koi ni Naru Oct. 14, 2025",https://animeshd.to/animes/kimi-to-koete-koi-ni-naru/,https://animeshd.to/wp-content/uploads/2025/10/l8YQfVfTKtWnBS54cvHlCLeUidc-185x278.jpg,Legendado,AnimesHD
"7.5 Mugen Gacha Oct. 03, 2025","7.5 Mugen Gacha Oct. 03, 2025",https://animeshd.to/animes/mugen-gacha/,https://animeshd.to/wp-content/uploads/2025/10/lFOtbsKfbrEixJXhHZLeoUtqUIn-185x278.jpg,Legendado,AnimesHD
"0 Chanto Suenai Kyuuketsuki-chan Oct. 12, 2025","0 Chanto Suenai Kyuuketsuki-chan Oct. 12, 2025",https://animeshd.to/animes/chanto-suenai-kyuuketsuki-chan/,https://animeshd.to/wp-content/uploads/2025/10/4ldkUuEe5YqrJ6QwIxCFBSfv9wV-185x278.jpg,Legendado,AnimesHD
"0 Gnosia Oct. 12, 2025","0 Gnosia Oct. 12, 2025",https://animeshd.to/animes/gnosia/,https://animeshd.to/wp-content/uploads/2025/10/2D4j3VlE2ZzNroic5imNLBQXGi-185x278.jpg,Legendado,AnimesHD
"7.529 Dragon Raja Aug. 19, 2022","7.529 Dragon Raja Aug. 19, 2022",https://animeshd.to/animes/dragon-raja/,https://animeshd.to/wp-content/uploads/2025/10/4VLHu3LGgKJ6wcOtcbsYZJtWZr6-185x278.jpg,Legendado,AnimesHD
"8.533 Mutante Rex Apr. 23, 2010","8.533 Mutante Rex Apr. 23, 2010",https://animeshd.to/animes/mutante-rex/,https://animeshd.to/wp-content/uploads/2025/10/jaJXANEo6toYsstDi2vUqX8mptc-185x278.jpg,Legendado,AnimesHD
"10 Towa no Yugure Oct. 03, 2025","10 Towa no Yugure Oct. 03, 2025",https://animeshd.to/animes/towa-no-yugure/,https://animeshd.to/wp-content/uploads/2025/10/p02YmcaT8TSMgff7iu6QusoR8Ws-185x278.jpg,Legendado,AnimesHD
"0 Tensei Akujo no Kuro Rekishi Oct. 09, 2025","0 Tensei Akujo no Kuro Rekishi Oct. 09, 2025",https://animeshd.to/animes/tensei-akujo-no-kuro-rekishi/,https://animeshd.to/wp-content/uploads/2025/10/mPxqrX1cSrG63rFiCgGhYeG3PWX-185x278.jpg,Legendado,AnimesHD
"0 Wandance Oct. 08, 2025","0 Wandance Oct. 08, 2025",https://animeshd.to/animes/wandance/,https://animeshd.to/wp-content/uploads/2025/10/1FbU0jXGPTKKWtRkVD1zplH73La-185x278.jpg,Legendado,AnimesHD
"0 Egao no Taenai Shokuba desu Oct. 06, 2025","0 Egao no Taenai Shokuba desu Oct. 06, 2025",https://animeshd.to/animes/egao-no-taenai-shokuba-desu/,https://animeshd.to/wp-content/uploads/2025/10/gVKAdE5KkozLw1MJDO10mrFnls2-185x278.jpg,Legendado,AnimesHD
"0 Ninja to Gokudou Oct. 08, 2025","0 Ninja to Gokudou Oct. 08, 2025",https://animeshd.to/animes/ninja-to-gokudou/,https://animeshd.to/wp-content/uploads/2025/10/37eik5Xi5xMjAzfkDaTO3Nc9nIT-185x278.jpg,Legendado,AnimesHD
"0 Chitose-kun wa Ramune Bin no Naka Oct. 07, 2025","0 Chitose-kun wa Ramune Bin no Naka Oct. 07, 2025",https://animeshd.to/animes/chitose-kun-wa-ramune-bin-no-naka/,https://animeshd.to/wp-content/uploads/2025/10/mwR2mUXNpQaHxlL5iHXtKlSMfyY-185x278.jpg,Legendado,AnimesHD
"7.5 Ansatsusha de Aru Ore no Status ga Yuusha Oct. 07, 2025","7.5 Ansatsusha de Aru Ore no Status ga Yuusha Oct. 07, 2025",https://animeshd.to/animes/ansatsusha-de-aru-ore-no-status-ga-yuusha/,https://animeshd.to/wp-content/uploads/2025/10/85YJUtguAWz2mJErJGUI55v26kw-185x278.jpg,Legendado,AnimesHD
"0 3-nen Z-gumi Ginpachi-sensei Oct. 07, 2025","0 3-nen Z-gumi Ginpachi-sensei Oct. 07, 2025",https://animeshd.to/animes/3-nen-z-gumi-ginpachi-sensei/,https://animeshd.to/wp-content/uploads/2025/10/slneGllMqljglPzNVNoiiGPZp2J-185x278.jpg,Legendado,AnimesHD
